customer_id,first_name,last_name,email,phone,address,city,state,zip_code,date_of_birth,age
CUST000,Lauren,Henry,johnsonrichard@example.net,664.398.5997x72353,558 Figueroa Station Apt. 162,Williamsbury,MO,52527,1973-07-21,51
CUST001,Diana,Wood,juliebrown@example.com,630.787.7924,069 Holly View,East Benjaminburgh,UT,54582,1981-08-18,43
CUST002,Trevor,Perez,oroberts@example.com,6127674917,8698 Kyle Springs Suite 766,West Kristin,MI,61788,1987-11-13,37
CUST003,Eric,Johnson,lhodges@example.com,+1-353-964-1444x4603,66255 Cox Shoal Apt. 330,West Kaylaland,WV,33571,1996-11-01,28
CUST004,David,Lamb,rebekah60@example.net,001-953-366-7060x039,8463 Kimberly Summit Apt. 606,South Timothy,TX,33450,1995-07-06,29
CUST005,Brandon,Camacho,diane06@example.net,001-996-280-2326x0382,356 Brenda Skyway,Ortizbury,RI,81860,1961-10-24,63
CUST006,Daniel,Smith,darrell51@example.com,625.295.4226,86650 Gaines Expressway,Port Stephenburgh,MD,05146,1982-05-08,43
CUST007,Joseph,Patel,udavis@example.org,+1-927-449-0345x645,5185 Cannon Bridge,Annaburgh,HI,83895,1993-10-18,31
CUST008,Elizabeth,Allen,jamiepearson@example.net,001-951-588-5054x209,8443 Duffy Dale,Michaelhaven,AS,09376,1950-08-07,74
CUST009,David,Bird,natalie69@example.com,001-736-716-7916x62137,290 Steven Roads,Smithville,NH,43874,1960-08-30,64
CUST010,Robert,Martin,dosborne@example.org,7695748909,12069 Murray Street,West Kennethhaven,ND,12817,1981-06-18,43
CUST011,Christopher,Alvarez,travis71@example.org,816.812.8306x933,809 Ashley Brook,New Aaron,DE,72502,1973-01-22,52
CUST012,Linda,Mckinney,adrian95@example.com,001-947-727-8712,90312 Jones Meadows Apt. 422,Bauerberg,DE,08016,1957-11-28,67
CUST013,Laura,Fuller,qjohnson@example.net,687.971.0116x34401,0111 Quinn Centers,Foxborough,LA,33483,1965-08-03,59
CUST014,Emily,Schmitt,kthomas@example.org,001-640-226-0942,163 Vasquez Pine,Andersonland,MI,11914,1971-05-14,54
CUST015,Jamie,Pierce,owilliams@example.com,(718)418-3170x649,955 Daniel Skyway Suite 435,Alvaradoside,IL,38614,1958-10-11,66
CUST016,Kathy,Haynes,hamiltonpatty@example.org,765.626.7004x4912,247 Kimberly Corner,Vangton,IA,48133,1985-05-20,39
CUST017,Stephanie,Skinner,thomasarroyo@example.com,+1-597-326-5855x698,4800 Sanford Islands Suite 943,Lake Alexis,MH,82545,1990-07-17,34
CUST018,Lisa,Burns,leemolly@example.org,606.608.4137x821,2815 Watts Vista Suite 395,East Anitaland,MN,57553,1962-03-27,63
CUST019,Karen,Howard,wpalmer@example.net,553-223-7801,65264 Kayla Extensions,North Daniel,NM,74574,1954-05-20,71
CUST020,Melissa,Chan,brandon85@example.com,001-462-893-2176x187,27634 Dean Mills Suite 655,South Kevin,WV,48107,1968-09-16,56
CUST021,Alfred,Kline,david77@example.org,999-471-8662,195 Buck Highway,Port Matthew,FL,66239,1969-01-24,56
CUST022,Catherine,Stephens,davidmcdonald@example.net,9127797873,19700 Vega Drives,South David,AK,09757,1965-02-15,60
CUST023,Blake,Martinez,justinfisher@example.com,+1-410-912-4164x58513,62461 Monica Falls,West Stephanie,NY,64402,1976-01-03,49
